NOUN,QUERY,PREDICTIONS,,,,,,,,,
motorcycle,most motorcycles are [MASK].,electric,motorcycles,small,smaller,manual,hybrids,lightweight,amphibious,quieter,sold
,,1,0,0,0,0,0,0,0,0,0
cougar,most cougars are [MASK].,nocturnal,male,female,white,tame,aggressive,silent,solitary,territorial,shy
,,0,1,1,0,1,1,0,0,0,0
wand,most wands are [MASK].,short,small,portable,sharp,bladed,invisible,electric,used,heavy,wooden
,,0,0,1,1,1,0,0,0,0,1
butterfly,most butterflies are [MASK].,nocturnal,white,black,solitary,brown,green,small,rare,large,blue
,,0,1,1,0,1,1,0,0,0,1
couch,most couches are [MASK].,leather,comfortable,empty,uncomfortable,white,green,occupied,beige,soft,black
,,1,1,0,1,1,1,0,1,1,1
bread,bread is [MASK].,good,cold,baked,made,hot,delicious,cooked,bread,free,warm
,,0,0,1,0,1,1,1,0,0,1
yam,most yams are [MASK].,edible,green,poisonous,eaten,black,yellow,white,vegetarian,toxic,bitter
,,1,0,1,0,0,1,1,0,0,0
inn,most inns are [MASK].,closed,small,free,open,private,smaller,public,empty,unmanned,nearby
,,0,0,0,0,1,0,1,0,1,0
rice,rice is [MASK].,grown,available,good,eaten,produced,used,common,cultivated,consumed,recommended
,,0,0,0,0,0,0,0,0,0,0
saucer,most saucers are [MASK].,spherical,smaller,small,portable,hollow,large,larger,empty,white,plastic
,,0,0,1,1,1,0,0,0,1,1
porcupine,most porcupines are [MASK].,nocturnal,solitary,small,large,white,smaller,terrestrial,black,territorial,blind
,,1,0,1,0,0,0,0,1,0,0
spear,most spears are [MASK].,curved,wooden,short,long,bladed,hollow,small,sharp,poisonous,broken
,,0,1,1,1,1,0,0,1,0,0
cellar,most cellars are [MASK].,underground,empty,vaulted,dry,flooded,full,private,open,covered,abandoned
,,1,1,1,1,0,1,1,0,0,0
rope,most ropes are [MASK].,used,thick,lightweight,heavy,thin,nylon,flexible,long,tight,short
,,0,1,0,0,1,1,1,1,0,1
box,most boxes are [MASK].,empty,closed,wooden,black,open,flat,white,hollow,plastic,small
,,1,0,1,1,0,0,1,1,1,0
apple,most apples are [MASK].,edible,green,yellow,white,red,black,poisonous,ripe,sour,eaten
,,1,1,1,0,1,0,1,1,1,0
banjo,most banjos are [MASK].,bowed,homemade,plucked,acoustic,tuned,electric,strung,used,wooden,banjo
,,1,0,1,1,0,1,0,0,1,0
parakeet,most parakeets are [MASK].,nocturnal,solitary,white,small,green,shy,blue,black,territorial,smaller
,,0,0,0,0,1,0,1,0,0,0
ambulance,most ambulances are [MASK].,private,unmarked,free,available,covered,motorized,staffed,mobile,volunteer,red
,,1,0,0,0,0,0,1,0,0,0
socks,most socks are [MASK].,white,black,optional,worn,red,green,blue,brown,cotton,yellow
,,1,1,0,0,1,1,1,1,1,1
dandelion,most dandelions are [MASK].,edible,poisonous,yellow,white,green,toxic,black,purple,bisexual,red
,,0,0,1,1,1,0,0,0,0,0
taxi,most taxis are [MASK].,private,taxis,local,small,yellow,free,taxi,registered,automated,black
,,1,0,1,0,1,0,0,0,0,1
jacket,most jackets are [MASK].,black,white,lightweight,optional,blue,leather,green,tweed,brown,comfortable
,,1,1,1,0,1,1,1,1,1,1
wheelbarrow,most wheelbarrows are [MASK].,portable,powered,manual,hollow,wooden,smaller,heavy,used,wheels,wheeled
,,1,0,0,0,1,0,1,0,0,1
crown,most crowns are [MASK].,ornamental,plastic,white,gold,silver,wooden,flat,decorative,black,similar
,,1,1,1,1,1,1,0,1,1,0
peacock,most peacocks are [MASK].,white,black,nocturnal,male,female,blue,tame,brown,solitary,green
,,0,0,0,1,1,1,1,0,0,1
mittens,most mittens are [MASK].,white,flexible,black,edible,elastic,deciduous,functional,flat,short,soft
,,1,0,1,0,1,0,0,0,0,1
bow,most bows are [MASK].,curved,hollow,wooden,straight,bowed,longer,sharp,adjustable,short,small
,,1,0,1,0,0,0,0,1,0,0
buzzard,most buzzards are [MASK].,nocturnal,solitary,territorial,white,shy,large,small,migratory,black,males
,,0,0,0,0,0,1,0,1,1,0
piano,most pianos are [MASK].,portable,electric,upright,mechanical,manual,homemade,tuned,antique,bowed,analog
,,1,1,1,1,0,0,1,1,0,0
tack,most tacks are [MASK].,metal,wooden,steel,plastic,adjustable,sharp,flat,brass,black,used
,,1,1,1,1,0,1,0,1,1,0
scissors,most scissors are [MASK].,sharp,used,scissors,flat,plastic,flexible,curved,small,adjustable,hollow
,,1,0,0,0,1,0,1,0,0,0
bra,most bras are [MASK].,optional,elastic,plastic,white,lightweight,leather,lace,black,flexible,synthetic
,,0,1,0,1,0,1,1,1,1,1
drill,most drills are [MASK].,timed,simple,optional,short,mandatory,competitive,similar,required,routine,drills
,,0,0,0,0,0,0,0,0,0,0
veil,most veils are [MASK].,white,black,opaque,translucent,optional,red,transparent,thin,dark,yellow
,,1,1,1,1,0,1,1,1,1,1
cannon,most cannons are [MASK].,obsolete,heavy,smaller,portable,automatic,small,lightweight,mobile,unarmed,wooden
,,0,1,0,0,0,0,0,0,0,1
mink,most minks are [MASK].,white,nocturnal,black,vegetarian,solitary,edible,polled,brown,small,gray
,,1,0,1,0,0,0,0,1,0,1
raft,most rafts are [MASK].,wooden,small,smaller,flat,used,amphibious,hollow,homemade,large,built
,,1,0,0,1,0,0,0,0,0,0
pearl,most pearls are [MASK].,white,yellow,edible,blue,green,black,pink,poisonous,hard,small
,,1,1,0,1,1,1,1,0,1,1
saddle,most saddles are [MASK].,leather,adjustable,lightweight,wooden,flat,used,optional,covered,black,synthetic
,,1,1,1,1,0,0,0,0,1,1
owl,most owls are [MASK].,nocturnal,solitary,silent,terrestrial,blind,small,large,territorial,predatory,smaller
,,1,0,1,0,0,1,1,0,1,0
bowl,most bowls are [MASK].,wooden,hollow,small,large,empty,flat,rectangular,black,cylindrical,spherical
,,1,1,1,1,1,0,1,1,1,1
ox,most oxen are [MASK].,white,polled,black,used,horned,eaten,dead,red,wooden,slaughtered
,,1,1,1,0,1,0,0,1,0,0
hut,most huts are [MASK].,wooden,abandoned,covered,permanent,seasonal,small,temporary,destroyed,ruined,rented
,,1,0,0,1,1,1,1,0,0,0
crow,most crows are [MASK].,nocturnal,white,male,solitary,tame,female,shy,black,harmless,territorial
,,1,0,1,0,1,1,0,1,0,1
camel,most camels are [MASK].,polled,white,black,vegetarian,horned,brown,small,barren,fat,rare
,,1,1,1,1,0,1,0,0,0,0
turkey,most turkeys are [MASK].,white,black,vegetarian,polled,edible,gray,green,brown,small,grey
,,1,1,1,0,1,1,1,1,0,1
pencil,most pencils are [MASK].,black,plastic,sharp,flat,hollow,white,used,wooden,red,thin
,,1,1,1,0,0,1,0,1,1,1
tractor,most tractors are [MASK].,tractors,electric,tracked,used,agricultural,diesel,trailers,amphibious,towed,hybrids
,,0,1,0,0,1,1,0,0,0,0
perch,most perches are [MASK].,open,permanent,small,protected,artificial,shallow,covered,hollow,grass,edible
,,0,0,0,0,0,0,0,0,0,1
axe,most axes are [MASK].,hollow,curved,wooden,small,large,short,sharp,smaller,flat,broken
,,0,1,1,0,0,0,1,0,0,0
honeydew,most honeydews are [MASK].,edible,nocturnal,green,poisonous,bisexual,solitary,white,yellow,sterile,similar
,,1,0,1,0,0,0,1,1,0,0
chimp,most chimps are [MASK].,nocturnal,solitary,vegetarian,male,blind,shy,female,males,small,females
,,0,0,1,1,0,0,1,0,0,0
bottle,most bottles are [MASK].,empty,plastic,dry,filled,used,sealed,white,glass,blue,black
,,0,1,0,0,0,0,0,1,0,0
ring,most rings are [MASK].,flat,round,hollow,small,black,closed,circular,white,thin,large
,,0,1,1,0,0,0,1,0,1,0
flute,most flutes are [MASK].,bowed,homemade,wooden,plucked,bamboo,conical,hollow,acoustic,small,cylindrical
,,0,0,1,0,1,0,1,1,0,1
skunk,most skunks are [MASK].,nocturnal,solitary,harmless,shy,vegetarian,white,small,blind,silent,terrestrial
,,0,0,1,0,0,1,0,0,0,0
bomb,most bombs are [MASK].,explosive,homemade,harmless,small,ineffective,empty,portable,plastic,heavy,useless
,,1,1,0,0,0,0,0,0,0,0
ant,most ants are [MASK].,nocturnal,solitary,colonial,parasitic,territorial,social,terrestrial,large,brown,amphibious
,,0,0,1,0,0,1,0,0,1,0
hornet,most hornets are [MASK].,nocturnal,black,female,solitary,white,harmless,brown,male,large,females
,,0,1,1,0,0,0,1,1,0,0
pipe,most pipes are [MASK].,wooden,hollow,bowed,metal,homemade,acoustic,brass,bamboo,tuned,black
,,1,1,0,1,0,0,1,1,0,0
stove,most stoves are [MASK].,portable,electric,gas,electrical,smaller,automatic,homemade,metal,automated,small
,,1,1,1,0,0,1,0,1,0,0
hose,most hoses are [MASK].,portable,used,flexible,short,longer,plastic,electric,black,threaded,long
,,0,0,1,0,0,1,0,1,0,1
celery,most celeries are [MASK].,edible,poisonous,white,yellow,green,black,hardy,red,purple,sterile
,,1,0,1,0,1,0,0,0,0,0
swan,most swans are [MASK].,white,black,male,blue,brown,female,grey,migratory,gray,red
,,1,1,1,0,0,1,1,1,1,0
gown,most gowns are [MASK].,white,black,expensive,blue,short,silk,red,comfortable,pretty,plain
,,1,1,1,1,0,1,1,1,1,1
rake,most rakes are [MASK].,flat,short,portable,adjustable,used,automatic,heavy,manual,lightweight,hollow
,,1,0,1,1,0,0,0,1,0,0
chandelier,most chandeliers are [MASK].,crystal,electric,brass,white,silver,decorative,tiffany,large,lit,gold
,,1,1,1,0,1,1,0,1,0,1
plum,most plums are [MASK].,edible,green,poisonous,white,black,yellow,red,purple,brown,small
,,1,0,0,1,1,1,1,1,1,1
pier,most piers are [MASK].,brick,concrete,granite,octagonal,stone,circular,arched,limestone,ornamental,wooden
,,1,1,0,0,1,1,0,0,0,1
panther,most panthers are [MASK].,territorial,dangerous,nocturnal,tame,vicious,weak,aggressive,unpredictable,fierce,harmless
,,1,1,0,1,0,0,1,1,1,0
mushroom,most mushrooms are [MASK].,edible,poisonous,toxic,green,brown,parasitic,eaten,white,microscopic,small
,,1,1,1,0,1,0,0,1,0,1
leopard,most leopards are [MASK].,nocturnal,solitary,white,female,male,black,smaller,tame,larger,gray
,,0,0,0,1,1,1,0,1,0,0
sardine,most sardines are [MASK].,edible,vegetarian,poisonous,white,toxic,black,green,yellow,fried,fresh
,,1,0,0,0,0,0,0,0,1,1
banana,most bananas are [MASK].,edible,green,eaten,poisonous,ripe,harvested,black,consumed,yellow,exported
,,1,1,0,0,1,0,0,0,1,0
card,most cards are [MASK].,rare,black,unique,blank,trump,discarded,numbered,random,white,identical
,,0,0,0,1,0,0,1,0,1,0
worm,most worms are [MASK].,edible,parasitic,poisonous,harmless,small,green,nocturnal,white,predatory,amphibious
,,0,0,0,0,1,1,0,1,0,0
corn,most corns are [MASK].,green,edible,white,yellow,dry,sweet,black,red,roasted,harvested
,,1,1,0,1,0,1,0,0,0,0
rat,most rats are [MASK].,nocturnal,solitary,sterile,white,harmless,vegetarian,poisonous,male,blind,female
,,0,0,0,0,0,0,0,1,1,1
grapefruit,most grapefruits are [MASK].,edible,green,white,poisonous,yellow,black,red,sweet,dry,sour
,,1,0,0,0,1,0,1,0,0,1
goose,most geese are [MASK].,white,black,migratory,grey,gray,male,brown,female,polled,vegetarian
,,1,1,1,1,1,1,1,1,0,1
trolley,most trolleys are [MASK].,electric,articulated,automated,unmarked,hybrids,yellow,diesel,green,hybrid,older
,,1,1,0,0,0,0,1,0,0,0
chipmunk,most chipmunks are [MASK].,male,white,nocturnal,black,female,green,small,blue,males,silent
,,1,1,0,1,1,0,1,0,1,0
pot,most pots are [MASK].,clay,white,black,empty,hollow,glazed,decorated,wooden,small,painted
,,1,1,1,1,1,1,1,1,1,1
buffalo,most buffalos are [MASK].,large,horned,small,white,black,polled,wild,tame,vegetarian,larger
,,1,1,0,0,1,1,1,1,1,0
asparagus,most asparagi are [MASK].,vegetarian,nocturnal,white,solitary,edible,green,black,small,horned,polled
,,0,0,1,0,1,1,0,0,0,0
machete,most machetes are [MASK].,bladed,sharp,short,homemade,deadly,used,lethal,wooden,curved,small
,,1,1,0,0,0,0,0,1,1,0
cow,most cows are [MASK].,white,polled,vegetarian,horned,milk,black,female,cows,male,pregnant
,,1,0,0,0,1,1,1,0,1,0
elk,most elk are [MASK].,nocturnal,polled,tame,solitary,white,female,vegetarian,male,gray,horned
,,0,0,1,0,1,1,1,1,1,1
tangerine,most tangerines are [MASK].,edible,white,poisonous,yellow,black,green,red,purple,bisexual,sterile
,,1,0,0,1,0,0,1,0,0,0
peg,most pegs are [MASK].,adjustable,wooden,flat,hollow,fixed,metal,threaded,plastic,used,steel
,,,,,,,,,,,
fawn,most fawns are [MASK].,white,black,polled,brown,grey,gray,yellow,smaller,female,blue
,,,,,,,,,,,
sailboat,most sailboats are [MASK].,amphibious,small,smaller,aluminum,powered,motorized,wooden,fast,electric,larger
,,,,,,,,,,,
orange,most oranges are [MASK].,yellow,edible,poisonous,green,black,red,white,orange,sour,bitter
,,,,,,,,,,,
pumpkin,most pumpkins are [MASK].,edible,green,white,poisonous,black,red,hollow,yellow,spherical,eaten
,,,,,,,,,,,
lime,most limes are [MASK].,edible,poisonous,green,yellow,black,white,toxic,bitter,acidic,sour
,,,,,,,,,,,
cucumber,most cucumbers are [MASK].,edible,poisonous,green,white,black,eaten,vegetarian,toxic,yellow,similar
,,,,,,,,,,,
lemon,most lemons are [MASK].,poisonous,edible,yellow,bitter,green,sour,white,black,red,sweet
,,,,,,,,,,,
belt,most belts are [MASK].,leather,short,flexible,adjustable,black,thin,metal,closed,white,optional
,,,,,,,,,,,
shrimp,most shrimps are [MASK].,edible,poisonous,harmless,small,green,vegetarian,white,toxic,parasitic,black
,,,,,,,,,,,
grape,most grapes are [MASK].,white,red,exported,harvested,grown,cultivated,yellow,edible,black,dried
,,,,,,,,,,,
dolphin,most dolphins are [MASK].,male,nocturnal,white,small,tame,large,shy,female,solitary,harmless
,,,,,,,,,,,
tuna,most tuna are [MASK].,edible,vegetarian,poisonous,white,larger,toxic,large,small,black,harmless
,,,,,,,,,,,
budgie,most budgies are [MASK].,white,green,edible,black,yellow,red,blue,small,orange,vegetarian
,,,,,,,,,,,
rhubarb,most rhubarbs are [MASK].,edible,poisonous,green,yellow,white,black,aromatic,toxic,bitter,eaten
,,,,,,,,,,,
minnow,most minnows are [MASK].,small,edible,nocturnal,smaller,harmless,black,white,larger,brown,green
,,,,,,,,,,,
cigarette,most cigarettes are [MASK].,stale,lit,smoked,black,homemade,used,dry,expensive,banned,green
,,,,,,,,,,,
airplane,most airplanes are [MASK].,small,obsolete,smaller,homemade,unmanned,electric,amphibious,used,old,metal
,,,,,,,,,,,
raisin,most raisins are [MASK].,edible,white,yellow,green,sour,bitter,poisonous,sweet,black,dried
,,,,,,,,,,,
pickle,most pickles are [MASK].,spicy,vegetarian,edible,fried,green,sweet,white,poisonous,bitter,homemade
,,,,,,,,,,,
cherry,most cherries are [MASK].,edible,black,poisonous,white,yellow,green,red,ripe,purple,orange
,,,,,,,,,,,
emerald,most emeralds are [MASK].,green,yellow,black,blue,white,rare,red,pink,purple,brown
,,,,,,,,,,,
ruler,most rulers are [MASK].,women,male,males,female,children,men,females,dead,christians,religious
,,,,,,,,,,,
donkey,most donkeys are [MASK].,polled,white,vegetarian,black,horned,male,lame,small,female,grey
,,,,,,,,,,,
barn,most barns are [MASK].,abandoned,small,covered,permanent,older,listed,brick,wooden,large,open
,,,,,,,,,,,
dog,most dogs are [MASK].,polled,nocturnal,silent,tame,aggressive,small,intelligent,lazy,loyal,white
,,,,,,,,,,,
salamander,most salamanders are [MASK].,nocturnal,terrestrial,aquatic,small,solitary,predatory,large,harmless,smaller,poisonous
,,,,,,,,,,,
sheep,most sheep are [MASK].,polled,white,horned,black,vegetarian,domestic,grey,brown,gray,male
,,,,,,,,,,,
bus,most buses are [MASK].,private,local,free,electric,yellow,diesel,available,taxis,automated,seasonal
,,,,,,,,,,,
boat,most boats are [MASK].,small,smaller,wooden,amphibious,fast,motorized,homemade,fishing,electric,larger
,,,,,,,,,,,
sleigh,most sleighs are [MASK].,covered,portable,wooden,open,closed,lightweight,used,small,electric,motorized
,,,,,,,,,,,
hare,most hares are [MASK].,nocturnal,small,smaller,black,large,larger,white,solitary,polled,brown
,,,,,,,,,,,
missile,most missiles are [MASK].,smaller,mobile,silent,small,unarmed,nuclear,portable,lightweight,guided,unmanned
,,,,,,,,,,,
gorilla,most gorillas are [MASK].,nocturnal,solitary,shy,tame,vegetarian,mute,male,large,blind,small
,,,,,,,,,,,
key,most keys are [MASK].,missing,manual,used,simple,mechanical,black,flat,uncommon,open,small
,,,,,,,,,,,
bat,most bats are [MASK].,nocturnal,solitary,terrestrial,territorial,silent,small,large,predatory,blind,predators
,,,,,,,,,,,
gopher,most gophers are [MASK].,nocturnal,white,males,male,small,female,smaller,black,gray,green
,,,,,,,,,,,
pajamas,most pajamas are [MASK].,comfortable,optional,uncomfortable,worn,white,expensive,lightweight,soft,casual,used
,,,,,,,,,,,
yacht,most yachts are [MASK].,small,smaller,fast,larger,amphibious,white,sailing,large,identical,wooden
,,,,,,,,,,,
shotgun,most shotguns are [MASK].,automatic,obsolete,lightweight,smaller,loaded,similar,longer,small,pistols,homemade
,,,,,,,,,,,
tie,most ties are [MASK].,broken,dead,eliminated,drawn,cut,fatal,dropped,severed,tied,blood
,,,,,,,,,,,
tomato,most tomatoes are [MASK].,green,edible,yellow,red,white,fresh,sour,ripe,poisonous,vegetarian
,,,,,,,,,,,
eel,most eels are [MASK].,nocturnal,harmless,small,poisonous,predatory,edible,parasitic,aquatic,large,amphibious
,,,,,,,,,,,
nightgown,most nightgowns are [MASK].,white,black,optional,silk,lightweight,cotton,loose,blue,comfortable,red
,,,,,,,,,,,
parsley,most parsleys are [MASK].,edible,poisonous,green,white,yellow,aromatic,black,toxic,bitter,red
,,,,,,,,,,,
cap,most caps are [MASK].,red,black,worn,yellow,white,retired,green,blue,brown,orange
,,,,,,,,,,,
stork,most storks are [MASK].,white,black,nocturnal,brown,migratory,gray,male,female,grey,solitary
,,,,,,,,,,,
chicken,most chickens are [MASK].,white,vegetarian,black,sterile,male,healthy,edible,polled,small,meat
,,,,,,,,,,,
deer,most deer are [MASK].,nocturnal,solitary,tame,common,polled,rare,wild,migratory,small,vegetarian
,,,,,,,,,,,
paintbrush,most paintbrushes are [MASK].,plastic,portable,used,metal,black,flexible,flat,small,curved,wooden
,,,,,,,,,,,
beehive,most beehives are [MASK].,small,indoors,edible,underground,large,seasonal,sterile,closed,nocturnal,artificial
,,,,,,,,,,,
pheasant,most pheasants are [MASK].,nocturnal,small,black,edible,vegetarian,smaller,poisonous,white,polled,large
,,,,,,,,,,,
birch,most birches are [MASK].,deciduous,evergreen,poisonous,edible,rare,barren,common,dwarf,dead,hollow
,,,,,,,,,,,
building,most buildings are [MASK].,residential,listed,brick,plastered,wooden,stone,residences,commercial,houses,white
,,,,,,,,,,,
armour,most armours are [MASK].,lightweight,armoured,metal,wooden,black,steel,bronze,heavy,metallic,armored
,,,,,,,,,,,
rattlesnake,most rattlesnakes are [MASK].,nocturnal,poisonous,smaller,harmless,small,larger,large,solitary,tame,black
,,,,,,,,,,,
fence,most fences are [MASK].,electrified,electric,wooden,broken,permanent,low,high,tall,modern,locked
,,,,,,,,,,,
clam,most clams are [MASK].,edible,poisonous,small,green,large,black,white,toxic,smaller,yellow
,,,,,,,,,,,
squirrel,most squirrels are [MASK].,nocturnal,solitary,shy,small,edible,harmless,gray,white,poisonous,female
,,,,,,,,,,,
apron,most aprons are [MASK].,white,black,optional,red,yellow,blue,green,leather,orange,worn
,,,,,,,,,,,
subway,most subways are [MASK].,underground,elevated,electrified,free,electric,closed,green,unused,subway,tunnels
,,,,,,,,,,,
whip,most whips are [MASK].,short,sharp,used,curved,flexible,electric,homemade,adjustable,broken,small
,,,,,,,,,,,
coat,most coats are [MASK].,black,dark,white,brown,gray,long,short,thick,grey,longer
,,,,,,,,,,,
potato,most potatoes are [MASK].,edible,green,eaten,white,harvested,fresh,exported,roasted,yellow,red
,,,,,,,,,,,
cape,most capes are [MASK].,white,black,red,blue,yellow,green,short,brown,long,shorter
,,,,,,,,,,,
tuba,most tubas are [MASK].,homemade,electric,brass,bowed,manual,smaller,portable,tuned,used,hollow
,,,,,,,,,,,
blueberry,most blueberries are [MASK].,edible,poisonous,black,green,yellow,white,wild,eaten,red,ripe
,,,,,,,,,,,
dagger,most daggers are [MASK].,silver,sharp,short,wooden,small,curved,longer,metal,long,smaller
,,,,,,,,,,,
seal,most seals are [MASK].,black,white,brown,nocturnal,gray,large,smaller,female,green,male
,,,,,,,,,,,
cup,most cups are [MASK].,empty,plastic,filled,black,full,used,white,small,blue,wooden
,,,,,,,,,,,
accordion,most accordions are [MASK].,bowed,homemade,portable,wooden,manual,plucked,acoustic,electric,hollow,used
,,,,,,,,,,,
bear,most bears are [MASK].,nocturnal,solitary,tame,white,harmless,female,male,large,shy,smaller
,,,,,,,,,,,
lettuce,most lettuces are [MASK].,edible,green,white,yellow,black,red,fresh,purple,dry,vegetarian
,,,,,,,,,,,
umbrella,most umbrellas are [MASK].,portable,lightweight,plastic,covered,black,adjustable,electric,metal,green,used
,,,,,,,,,,,
bayonet,most bayonets are [MASK].,fixed,barbed,adjustable,steel,mounted,sharp,pointed,portable,wooden,used
,,,,,,,,,,,
rabbit,most rabbits are [MASK].,nocturnal,edible,white,poisonous,black,harmless,vegetarian,brown,solitary,small
,,,,,,,,,,,
